,time,P,poa_direct,poa_sky_diffuse,poa_ground_diffuse,solar_elevation,temp_air,wind_speed,Int,price_per_kwh
0,01-01 00:10:00,0.0,0.0,0.0,0.0,0.0,6.755625,13.18125,0.0,0.20458
1,01-01 01:10:00,0.0,0.0,0.0,0.0,0.0,7.193125,4.771875,0.0,0.20458
2,01-01 02:10:00,0.0,0.0,0.0,0.0,0.0,7.083125,4.8625,0.0,0.20458
3,01-01 03:10:00,0.0,0.0,0.0,0.0,0.0,7.1475,4.98625,0.0,0.20458
4,01-01 04:10:00,0.0,0.0,0.0,0.0,0.0,7.105625,5.155,0.0,0.20458
5,01-01 05:10:00,0.0,0.0,0.0,0.0,0.0,7.114375,5.39625,0.0,0.20458
6,01-01 06:10:00,0.0,0.0,0.0,0.0,0.0,7.069375,5.405,0.0,0.20458
7,01-01 07:10:00,0.0,0.0,0.0,0.0,0.0,7.08125,5.474375,0.0,0.20458
8,01-01 08:10:00,0.0,0.0,0.0,0.0,0.0,7.120625,5.585625,0.0,0.20458
9,01-01 09:10:00,0.0,0.0,0.0,0.0,0.0,7.0925,5.7675,0.0,0.26706
10,01-01 10:10:00,543.37875,63.299375000000005,53.113749999999996,1.354375,8.71,7.239375,5.865625,0.0,0.26706
11,01-01 11:10:00,912.58875,91.485625,94.7175,2.529375,14.57,7.585625,5.91625,0.0,0.26706
12,01-01 12:10:00,1683.9337500000001,202.65125,132.216875,3.986875,18.36,7.8568750000000005,5.914375,0.0,0.26706
13,01-01 13:10:00,1443.49875,171.58375,120.67375,3.729375,19.71,8.161249999999999,6.08625,0.0,0.26706
14,01-01 14:10:00,1364.79375,166.47312499999998,110.51,3.3675,18.49,8.41,6.168125,0.0,0.26706
15,01-01 15:10:00,1116.40125,130.605,96.46187499999999,2.73125,14.82,8.555,6.081875,0.0,0.26706
16,01-01 16:10:00,857.7524999999999,106.81625,70.66437499999999,1.784375,9.05,8.620625,6.146875,0.0,0.26706
17,01-01 17:10:00,0.45,0.0,0.520625,0.013125,0.1025,8.371875,6.25875,0.0,0.26706
18,01-01 18:10:00,0.0,0.0,0.0,0.0,0.0,8.164375,6.16875,0.0,0.26706
19,01-01 19:10:00,0.0,0.0,0.0,0.0,0.0,8.0575,5.978125,0.0,0.26706
