,time,P,poa_direct,poa_sky_diffuse,poa_ground_diffuse,solar_elevation,temp_air,wind_speed,Int,price_per_kwh,dishwasher,ev,freezer,grid export,grid import,heat pump,pv,refrigerator,washing machine,total energy consumption,energy balance
0,01-01 00:10:00,0.0,0.0,0.0,0.0,0.0,6.755625,13.18125,0.0,0.20458,46.90033333333333,1207.2136666666668,192.8045,9669.571333333333,5232.9845,1391.0255833333333,12442.296999999999,73.8955,51.013,2962.8525833333333,8005.710166666667
1,01-01 01:10:00,0.0,0.0,0.0,0.0,0.0,7.193125,4.771875,0.0,0.20458,46.90033333333333,1207.2136666666668,192.81949999999998,9669.571333333333,5234.003250000001,1391.5034166666667,12442.296999999999,73.90708333333333,51.013,2963.357,8006.728916666667
2,01-01 02:10:00,0.0,0.0,0.0,0.0,0.0,7.083125,4.8625,0.0,0.20458,46.90033333333333,1207.2136666666668,192.832,9669.571333333333,5234.878166666666,1391.938,12442.296999999999,73.91816666666666,51.013,2963.8151666666668,8007.603833333334
3,01-01 03:10:00,0.0,0.0,0.0,0.0,0.0,7.1475,4.98625,0.0,0.20458,46.90033333333333,1207.2136666666668,192.84758333333332,9669.571333333333,5235.780333333333,1392.4160833333335,12442.296999999999,73.92875,51.013,2964.3194166666667,8008.506
4,01-01 04:10:00,0.0,0.0,0.0,0.0,0.0,7.105625,5.155,0.0,0.20458,46.90033333333333,1207.2136666666668,192.85983333333334,9669.571333333333,5236.710333333333,1392.8611666666666,12442.296999999999,73.93641666666666,51.013,2964.784416666667,8009.436000000001
5,01-01 05:10:00,0.0,0.0,0.0,0.0,0.0,7.114375,5.39625,0.0,0.20458,46.90033333333333,1207.2136666666668,192.87283333333332,9669.571333333333,5237.669916666667,1393.3540833333334,12442.296999999999,73.95241666666666,51.013,2965.306333333334,8010.395583333334
6,01-01 06:10:00,0.0,0.0,0.0,0.0,0.0,7.069375,5.405,0.0,0.20458,46.90033333333333,1207.2136666666668,192.88766666666666,9669.571333333333,5238.622416666666,1393.7821666666666,12442.296999999999,73.957,51.013,2965.7538333333337,8011.348083333333
7,01-01 07:10:00,0.0,0.0,0.0,0.0,0.0,7.08125,5.474375,0.0,0.20458,46.90033333333333,1207.2136666666668,192.90066666666667,9669.571333333333,5239.670999999999,1394.2979166666667,12442.346666666666,73.96541666666667,51.013,2966.2910000000006,8012.446333333333
8,01-01 08:10:00,0.0,0.0,0.0,0.0,0.0,7.120625,5.585625,0.0,0.20458,46.90033333333333,1207.2136666666668,192.91625,9669.5785,5240.483583333334,1394.8625,12442.847666666667,73.98416666666667,51.013,2966.889916666667,8013.752750000001
9,01-01 09:10:00,0.0,0.0,0.0,0.0,0.0,7.0925,5.7675,0.0,0.26706,46.90033333333333,1207.2136666666668,192.92841666666666,9669.70225,5241.234666666666,1395.5230833333333,12443.817833333334,73.98466666666667,51.013,2967.563166666667,8015.3502499999995
10,01-01 10:10:00,543.37875,63.299375000000005,53.113749999999996,1.354375,8.71,7.239375,5.865625,0.0,0.26706,46.90033333333333,1207.2136666666668,192.94316666666668,9669.887333333334,5242.0242499999995,1396.274583333333,12445.5625,73.99833333333333,51.013,2968.343083333333,8017.699416666667
