,P,poa_direct,poa_sky_diffuse,poa_ground_diffuse,solar_elevation,temp_air,wind_speed,Int,price_per_kwh,dishwasher,ev,freezer,grid export,grid import,heat pump,pv,refrigerator,washing machine,total energy consumption,energy balance,battery,timestamp
1368,0.0,0.0,0.0,0.0,0.0,6.33375,4.469375,0.0,0.20458,87.613,886.0885000000001,137.17075,5462.9325,4512.74425,3164.604375,7312.291,25.151375,98.25800000000001,4398.886,6362.10275,0.0,2022-02-27 00:10:00
1369,0.0,0.0,0.0,0.0,0.0,6.168125,4.555625,0.0,0.20458,87.613,886.0885000000001,137.186625,5462.9325,4513.545,3165.2403750000003,7312.291,25.167,98.25800000000001,4399.5535,6362.9035,0.0,2022-02-27 01:10:00
1370,0.0,0.0,0.0,0.0,0.0,6.032500000000001,4.7325,0.0,0.20458,87.613,886.0885000000001,137.20175,5462.9325,4514.357,3165.8935,7312.291,25.1685,98.25800000000001,4400.22325,6363.715499999999,0.0,2022-02-27 02:10:00
1371,0.0,0.0,0.0,0.0,0.0,5.933125,5.0356250000000005,0.0,0.20458,87.613,886.0885000000001,137.21587499999998,5462.9325,4515.244125,3166.595375,7312.291,25.17775,98.25800000000001,4400.9485,6364.6026249999995,0.0,2022-02-27 03:10:00
1372,0.0,0.0,0.0,0.0,0.0,5.86625,5.203125,0.0,0.20458,87.613,886.0885000000001,137.23149999999998,5462.9325,4516.12125,3167.2875,7312.291,25.186,98.25800000000001,4401.6645,6365.47975,0.0,2022-02-27 04:10:00
1373,0.0,0.0,0.0,0.0,0.0,5.87375,5.1975,0.0,0.20458,87.613,886.0885000000001,137.246375,5462.9325,4516.957625,3167.97725,7312.291,25.187625,98.25800000000001,4402.37075,6366.316124999999,0.0,2022-02-27 05:10:00
1374,0.0,0.0,0.0,0.0,0.0,5.944375,5.51375,0.0,0.20458,87.613,886.0885000000001,137.261,5462.9325,4518.128125,3168.96975,7312.305,25.202375,98.25800000000001,4403.392625,6367.500625000001,0.0,2022-02-27 06:10:00
1375,0.0,0.0,0.0,0.0,0.0,5.93125,5.534375,0.0,0.20458,87.613,886.0885000000001,137.27675,5463.092000000001,4519.40425,3170.306,7312.690875,25.203,98.25800000000001,4404.74525,6369.003124999999,0.0,2022-02-27 07:10:00
1376,0.0,0.0,0.0,0.0,0.0,5.84375,5.53,0.0,0.20458,87.613,886.0885000000001,137.29025000000001,5464.1525,4519.640875,3171.001625,7314.383625,25.21275,98.25800000000001,4405.464125,6369.872,0.0,2022-02-27 08:10:00
1377,853.95,110.04,69.488125,2.493125,11.51,6.18375,5.5725,0.0,0.26706,87.613,886.0885000000001,137.30599999999998,5466.641125,4519.6735,3171.646125,7317.63975,25.22,98.25800000000001,4406.131625,6370.672124999999,0.0,2022-02-27 09:10:00
1378,1786.71375,227.326875,126.29375,5.158125,20.1,6.904999999999999,5.750625,0.0,0.26706,87.613,886.0885000000001,137.320375,5470.694125,4519.6735,3172.23225,7322.4275,25.22225,98.25800000000001,4406.734375,6371.406875,0.0,2022-02-27 10:10:00
1379,2403.5775,320.158125,159.849375,7.07875,27.21,7.63,5.8149999999999995,0.0,0.26706,87.613,886.08875,137.335625,5475.386875,4519.67725,3172.7585,7327.9595,25.237125,98.25800000000001,4407.291,6372.2498749999995,0.0,2022-02-27 11:10:00
1380,2892.10125,401.17875,184.9525,8.54875,32.16,8.188125,5.97875,0.0,0.26706,87.613,886.089625,137.351,5481.183625,4519.713,3173.185375,7334.814875,25.2375,98.25800000000001,4407.7345000000005,6373.34425,0.0,2022-02-27 12:10:00
1381,2470.65,335.15000000000003,170.761875,7.5075,32.175,8.664375,6.025625,0.0,0.26706,87.613,886.0905,137.36675,5487.628625,4519.713,3173.60325,7341.9061249999995,25.250999999999998,98.25800000000001,4408.1825,6373.9905,0.0,2022-02-27 13:10:00
