time(UTC),temp_air,relative_humidity,ghi,dni,dhi,IR(h),wind_speed,wind_direction,pressure
2016-01-01 00:00:00+00:00,2.49,98.81,0.0,-0.0,0.0,303.99,1.4,166.0,100662.0
2016-01-01 01:00:00+00:00,2.35,98.91,0.0,-0.0,0.0,308.47,1.36,167.0,100682.0
2016-01-01 02:00:00+00:00,2.21,99.01,0.0,-0.0,0.0,312.96,1.32,168.0,100701.0
2016-01-01 03:00:00+00:00,2.07,99.11,0.0,-0.0,0.0,317.45,1.29,169.0,100750.0
2016-01-01 04:00:00+00:00,1.93,99.21,0.0,-0.0,0.0,321.94,1.25,169.0,100731.0
2016-01-01 05:00:00+00:00,1.78,99.31,0.0,-0.0,0.0,326.43,1.21,172.0,100721.0
2016-01-01 06:00:00+00:00,1.64,99.41,0.0,-0.0,0.0,330.92,1.17,179.0,100770.0
2016-01-01 07:00:00+00:00,1.5,99.51,0.0,-0.0,0.0,335.41,1.13,202.0,100780.0
2016-01-01 08:00:00+00:00,2.6,98.75,8.0,0.0,8.0,326.2,1.66,198.0,100829.0
2016-01-01 09:00:00+00:00,2.86,98.05,67.0,10.86,65.0,322.6,1.72,203.0,100809.0
2016-01-01 10:00:00+00:00,3.07,97.55,56.0,0.0,56.0,326.8,1.59,192.0,100799.0
2016-01-01 11:00:00+00:00,3.4,96.0,36.0,0.0,36.0,329.8,1.59,171.0,100741.0
2016-01-01 12:00:00+00:00,3.59,98.2,143.0,68.69,124.0,329.2,1.24,159.0,100692.0
2016-01-01 13:00:00+00:00,3.84,97.7,63.0,0.0,63.0,330.8,1.17,156.0,100652.0
2016-01-01 14:00:00+00:00,3.96,97.7,59.0,34.47,54.0,331.2,1.1,146.0,100603.0
2016-01-01 15:00:00+00:00,4.05,97.4,0.0,0.0,0.0,331.2,1.17,130.0,100603.0
2016-01-01 16:00:00+00:00,4.01,97.9,0.0,-0.0,0.0,331.0,1.24,121.0,100554.0
2016-01-01 17:00:00+00:00,4.02,97.85,0.0,-0.0,0.0,330.6,1.45,116.0,100495.0
2016-01-01 18:00:00+00:00,4.05,97.45,0.0,-0.0,0.0,329.8,2.0,108.0,100417.0
2016-01-01 19:00:00+00:00,4.23,95.7,0.0,-0.0,0.0,328.4,2.76,115.0,100338.0
2016-01-01 20:00:00+00:00,4.02,94.45,0.0,-0.0,0.0,324.6,3.03,119.0,100280.0
2016-01-01 21:00:00+00:00,3.6,93.1,0.0,-0.0,0.0,317.8,3.03,123.0,100211.0
2016-01-01 22:00:00+00:00,3.2,91.65,0.0,-0.0,0.0,316.2,2.83,127.0,100152.0
2016-01-01 23:00:00+00:00,2.76,90.6,0.0,-0.0,0.0,309.6,2.48,124.0,100113.0
2016-01-02 00:00:00+00:00,2.32,89.4,0.0,-0.0,0.0,305.2,2.62,112.0,100025.0
2016-01-02 01:00:00+00:00,1.48,89.15,0.0,-0.0,0.0,280.4,2.83,105.0,99936.0
2016-01-02 02:00:00+00:00,0.96,88.0,0.0,-0.0,0.0,279.2,2.9,104.0,99877.0
2016-01-02 03:00:00+00:00,0.67,85.85,0.0,-0.0,0.0,282.6,2.97,106.0,99828.0
2016-01-02 04:00:00+00:00,0.53,83.7,0.0,-0.0,0.0,282.2,2.9,111.0,99750.0
2016-01-02 05:00:00+00:00,0.56,81.85,0.0,-0.0,0.0,285.4,3.03,115.0,99652.0
2016-01-02 06:00:00+00:00,0.57,80.4,0.0,-0.0,0.0,281.4,3.1,113.0,99622.0
2016-01-02 07:00:00+00:00,0.93,86.4,0.0,-0.0,0.0,289.2,2.76,135.0,99671.0
2016-01-02 08:00:00+00:00,1.07,86.9,27.0,24.33,25.0,305.8,3.03,124.0,99652.0
2016-01-02 09:00:00+00:00,1.2,88.15,0.0,0.0,0.0,313.4,3.1,112.0,99622.0
2016-01-02 10:00:00+00:00,1.28,90.3,57.0,0.0,57.0,314.4,3.38,111.0,99554.0
2016-01-02 11:00:00+00:00,1.51,90.85,66.0,0.0,66.0,317.6,3.1,112.0,99505.0
