time(UTC),temp_air,relative_humidity,ghi,dni,dhi,IR(h),wind_speed,wind_direction,pressure
2016-01-01 00:00:00+00:00,4.59,92.88,0.0,-0.0,0.0,23.65,4.26,143.0,102083.0
2016-01-01 01:00:00+00:00,5.47,93.55,0.0,-0.0,0.0,25.59,4.01,156.0,102053.0
2016-01-01 02:00:00+00:00,6.35,94.21,0.0,-0.0,0.0,27.54,3.76,153.0,102033.0
2016-01-01 03:00:00+00:00,7.23,94.87,0.0,-0.0,0.0,29.49,3.51,149.0,101993.0
2016-01-01 04:00:00+00:00,8.11,95.53,0.0,-0.0,0.0,31.44,3.25,159.0,101913.0
2016-01-01 05:00:00+00:00,8.99,96.2,0.0,-0.0,0.0,33.39,3.0,165.0,101873.0
2016-01-01 06:00:00+00:00,9.87,96.86,0.0,-0.0,0.0,35.33,2.75,152.0,101783.0
2016-01-01 07:00:00+00:00,10.75,97.52,0.0,-0.0,0.0,37.28,2.5,142.0,101723.0
2016-01-01 08:00:00+00:00,9.44,93.15,0.0,0.0,0.0,3.0,5.45,140.0,101663.0
2016-01-01 09:00:00+00:00,9.42,93.85,59.0,26.41,55.0,0.0,6.55,139.0,101603.0
2016-01-01 10:00:00+00:00,9.38,90.95,139.0,103.37,113.0,1.4,7.1,140.0,101513.0
2016-01-01 11:00:00+00:00,9.63,88.55,160.0,60.33,141.0,-21.2,6.69,139.0,101414.0
2016-01-01 12:00:00+00:00,10.04,84.95,127.0,8.89,124.0,0.0,7.03,140.0,101274.0
2016-01-01 13:00:00+00:00,10.53,80.8,59.0,0.0,59.0,-5.0,7.1,136.0,101064.0
2016-01-01 14:00:00+00:00,10.72,79.45,220.0,555.32,78.0,11.0,7.38,132.0,100844.0
2016-01-01 15:00:00+00:00,10.85,82.3,95.0,190.68,65.0,13.6,8.28,143.0,100675.0
2016-01-01 16:00:00+00:00,10.71,85.6,0.0,0.0,0.0,-23.4,8.62,159.0,100655.0
2016-01-01 17:00:00+00:00,10.96,86.45,0.0,-0.0,0.0,14.6,8.62,158.0,100525.0
2016-01-01 18:00:00+00:00,11.68,86.95,0.0,-0.0,0.0,18.4,8.97,165.0,100425.0
2016-01-01 19:00:00+00:00,12.35,85.55,0.0,-0.0,0.0,8.2,8.41,180.0,100385.0
2016-01-01 20:00:00+00:00,12.83,81.4,0.0,-0.0,0.0,-7.0,9.1,203.0,100365.0
2016-01-01 21:00:00+00:00,12.69,77.65,0.0,-0.0,0.0,-0.6,9.93,213.0,100355.0
2016-01-01 22:00:00+00:00,12.5,73.9,0.0,-0.0,0.0,-15.0,10.21,221.0,100345.0
2016-01-01 23:00:00+00:00,12.18,72.4,0.0,-0.0,0.0,-10.4,10.55,225.0,100345.0
2016-01-02 00:00:00+00:00,11.93,73.5,0.0,-0.0,0.0,-19.0,10.97,225.0,100305.0
2016-01-02 01:00:00+00:00,11.85,75.55,0.0,-0.0,0.0,289.0,11.38,224.0,100275.0
2016-01-02 02:00:00+00:00,11.84,73.7,0.0,-0.0,0.0,20.0,12.34,226.0,100255.0
2016-01-02 03:00:00+00:00,11.45,76.85,0.0,-0.0,0.0,-23.4,12.9,231.0,100315.0
2016-01-02 04:00:00+00:00,11.17,78.7,0.0,-0.0,0.0,18.8,12.69,233.0,100335.0
2016-01-02 05:00:00+00:00,10.79,82.8,0.0,-0.0,0.0,2.8,11.38,233.0,100345.0
2016-01-02 06:00:00+00:00,10.66,82.4,0.0,-0.0,0.0,8.2,11.31,238.0,100355.0
2016-01-02 07:00:00+00:00,10.54,80.55,0.0,-0.0,0.0,-1.4,10.69,245.0,100415.0
2016-01-02 08:00:00+00:00,10.4,81.2,0.0,0.0,0.0,-5.6,10.41,250.0,100485.0
2016-01-02 09:00:00+00:00,10.54,79.15,0.0,0.0,0.0,7.0,11.1,254.0,100575.0
2016-01-02 10:00:00+00:00,10.43,76.65,89.0,7.93,87.0,0.75,10.48,258.0,100655.0
2016-01-02 11:00:00+00:00,10.39,79.4,222.0,243.68,145.0,3.0,10.41,261.0,100735.0
2016-01-02 12:00:00+00:00,10.48,77.5,200.0,118.11,160.0,-17.6,10.28,264.0,100765.0
2016-01-02 13:00:00+00:00,10.61,76.35,50.0,0.0,50.0,21.4,9.79,266.0,100814.0
2016-01-02 14:00:00+00:00,10.88,74.35,178.0,252.27,113.0,3.6,9.72,269.0,100864.0
2016-01-02 15:00:00+00:00,10.5,72.05,122.0,451.46,50.0,-34.2,9.59,272.0,100934.0
2016-01-02 16:00:00+00:00,10.32,70.35,0.0,0.0,0.0,12.4,9.1,275.0,101024.0
2016-01-02 17:00:00+00:00,9.81,73.85,0.0,-0.0,0.0,-19.2,8.34,277.0,101084.0
2016-01-02 18:00:00+00:00,9.68,75.25,0.0,-0.0,0.0,7.2,8.14,277.0,101134.0
2016-01-02 19:00:00+00:00,9.77,75.45,0.0,-0.0,0.0,10.8,7.38,275.0,101174.0
2016-01-02 20:00:00+00:00,9.75,75.15,0.0,-0.0,0.0,14.4,6.76,270.0,101154.0
2016-01-02 21:00:00+00:00,9.71,74.5,0.0,-0.0,0.0,-20.4,6.62,264.0,101174.0
2016-01-02 22:00:00+00:00,9.88,73.7,0.0,-0.0,0.0,32.2,5.17,249.0,101084.0
2016-01-02 23:00:00+00:00,9.92,74.6,0.0,-0.0,0.0,-10.4,5.03,237.0,101024.0
